No.,Category,Level ,Question,Ans.1,Ans.2,Ans.3,Ans.4,Correct Ans.
11,Situation,Easy,You turn up to work early one morning and notice the cleaner has not emptied the bins or cleaned the work surfaces. What would you do?,Inform my manager so they can speak to the cleaner's supervisor to complain.,Empty the bins myself and clean the work surfaces. I would then inform my manager so he or she could raise the issue with the cleaner's supervisor to make sure it does not happen again.,Try and contact the cleaner to let them know they need to come back and finish the job properly.,"I am not a cleaner; therefore, this it isn't my problem. I would simply start my working day as normal and get on with my tasks and responsibilities.",Ans.2
12,Situation,Easy,The time is 4:55pm on a Friday afternoon and you are working in a store serving customers. You look up to see a queue of 15 customers waiting to be served but there's only 5 minutes until closing time. What would you do?,Continue serving customers until 5 pm and then stop. Apologise to the customers you are unable to serve before shutting up shop and going home.,Ask my manager what I should do.,Continue serving customers up until 5 pm and then stop. Apologise to the customers you are unable to serve but tell them to come back first thing in the morning and you will serve them then.,"Carry on serving the customers and once 5pm arrives close the store so no more customers can enter. Then, finish off serving all the remaining customers until you have finished, even if it takes you past 5pm.",Ans.4
13,Situation,Easy,What would you do if a manager asked you to perform a task you've never done before?,Refuse to do it,Try randomly without understanding,Ask for guidance and learn how to do it,Ignore the request,Ans.3
14,Situation,Easy,What would you do if an angry and dissatisfied customer confronted you?,Argue with them,Ignore them,"Stay calm, listen, and try to resolve the issue",Walk away,Ans.3
15,Situation,Easy,Explain a time when you felt like your workload overwhelmed you. How did you manage it?,Stop working,Complain without action,Prioritize tasks and manage time effectively,Leave tasks unfinished,Ans.3
16,Situation,Easy,"Consider a scenario where a customer insists on speaking to a manager, but you're the only person available. How would you approach this?",Ignore the customer,Tell them to come later,Try to resolve the issue and escalate later,End the conversation,Ans.3
17,Situation,Easy,Have you ever disagreed with your manager about the best way to handle a situation? How did that discussion go?,Argue aggressively,Ignore your manager,Discuss respectfully and explain your opinion,Refuse to cooperate,Ans.3
18,Situation,Easy,Your friend has not invited you to his marriage party. You will :,send him your best wishes.,ignore the whole affair.,attend the ceremony.,hold it against him.,Ans.1
19,Situation,Easy,You are interviewed for a new job. Which of the following questions is most important to you?,remuneration you will be paid.,all the above are equally important.,scope to develop your ideas and use them to improve the working of the organization.,opportunities for promotion.,Ans.3
20,Situation,Easy,You have a tight deadline and your teammate is late. What do you do?,Ignore it,Report immediately,Try to help and communicate,Do nothing,Ans.3
21,Situation,Easy,You see someone breaking rules,Ignore,Join them,Report appropriately,Laugh,Ans.3
22,Situation,Easy,Your manager asks you to do something you think is wrong.,Do it blindly,Refuse aggressively,Ask questions and raise concern professionally,Ignore,Ans.3
23,Situation,Intermediate,"You worked hard on a project, but your teammate presents it and takes most of the credit. What should you do?",Confront them angrily in front of everyone,Say nothing and ignore it,Report them immediately to your manager,Talk to them privately and clarify the situation,Ans.4
24,Situation,Intermediate,"In a group project, one member is not contributing at all. What is the best action?",Do their part yourself,Remove them from the group,Talk to them and understand the reason first,Complain directly to the professor,Ans.3
25,Situation,Intermediate,"You planned to study, but your friends invited you out. What should you do?",Balance your priorities and decide based on urgency,stay home and study,Always go out with friends,Ignore your friends completely,Ans.1
26,Situation,Intermediate,You disagree with a family member about an important decision. What should you do?,Shout to prove your point,Stay silent even if you disagree,Discuss calmly and respect their opinion,Avoid them completely,Ans.3
27,Situation,Intermediate,You see your friend cheating during an exam. What should you do?,Ignore it completely,Focus on your own exam and avoid involvement,Join them,Immediately create a scene during the exam and tell the Doctor,Ans.2
28,Situation,Intermediate,You borrowed something from a friend and accidentally broke it. What should you do?,Return it without saying anything,Blame someone else,Say sorry,Admit it and offer to fix or replace it,Ans.4
29,Situation,Intermediate,"Your family asks for help at home, but you are busy with personal work. What should you do?",Refuse immediately because you have work to do,Help them,Explain your situation and help when possible,Get angry,Ans.3
30,Situation,Intermediate,Your manager asks you to complete a task you have never done before. The task is not included in your job description and you have no idea how to complete it. What would you do?,"Agree to do the task and find out myself how to complete it to the required standard. Although the task is not within my job description, I would see this as an opportunity to learn new skills.","Because the task is not within my job description, I would refuse to do it.","Ask my manager for guidance on how to complete the task. Even though it is not within my job description, I am happy to do it.","Ask my manager if I will receive additional pay for the task that is not within my job description. If I am going to get paid, I will do it. If I am not going to receive any pay, then I don't see why I should do it.",Ans.3
31,Situation,Intermediate,"A co-worker tells you she is planning to take a week's sick leave, when actually she is going on holiday. How do you respond?",Do nothing and pretend she hasn't told you. This is none of your business.,Advise your co-worker that being dishonest is likely to get her into trouble. Urge her to be honest with your Supervisor.,"Tell her to have fun on her vacation. If she gets away with it, consider doing it yourself.",Consult your other work colleagues to see what they think you should do in this situation. It's better to get a second opinion,Ans.2
32,Situation,Intermediate,"You are working with a colleague on an important project. You notice he's not putting in much effort, and he shows a lack of enthusiasm. What would you do?",Talk to your colleague and explain this is a mutual project and you need his help to get it finished.,Put in extra effort yourself to make sure the project is finished on time. It's best to avoid confrontational situations at work.,Inform your team leader and ask them if they will speak to your colleague.,"Do nothing and carry on as normal. If the project doesn't get completed on time, it's your work colleagues fault and not yours.",Ans.1
33,Situation,Intermediate,You notice large amounts of company property has been going missing over the past few weeks. You see one of your work colleagues putting stationary and other company equipment into her bag. What would you do in this situation?,Watch your work colleague over the next few days to gather more evidence. You don't have enough evidence yet.,"Don't do anything. If guilty, she will eventually be caught.","Tell your colleague to put the company property back and don't do it again! If she does, you will inform your supervisor.",Immediately inform your supervisor what you believe your work colleague has been doing.,Ans.4
34,Situation,Intermediate,You are 7 days away from completing an important client project when a member of your team goes off sick. It will now be difficult to finish the project on time without them. Your supervisor is off on holiday. What would you do?,"Carry on as normal. If the project doesn't get finished, it's not your fault",,Assess the project to see what can be done to reallocate tasks to the remaining team members. Put in extra hours if needed to get the project finished on time.,"Contact the client and tell them you will, unfortunately, have to extend the project finishing deadline",Ans.3
35,Situation,Intermediate,"You are working in an office when you overhear your work colleague, Jane, being rude to a customer. What would you do?",Speak to your work colleague in private and ask her why she was speaking to the customer in that way. Recommend she gets some customer service skills training.,Do nothing. Customers can be difficult at times and it's not surprising Jane has reacted that way.,Tell your manager about Jane's actions.,Call the customer back yourself and apologize for the manner in which your colleague spoke to them. Explain to the customer she's just having a bad day.,Ans.1
36,Situation,Intermediate,You are a customer service agent for a training provider. It comes to your attention that a customer has been sharing their online course access with a non-paying friend of theirs. What would you do?,"Do nothing. If someone else gets access for free, good for them!",Deactivate the customers account and give them fresh access. Politely inform the customer that any sharing of access is against company policy and their friend will have to register for their own account.,"Berate the customer for breaking company policy. Tell them if it happens again, their access will be permanently revoked.",Close down the customers account and refund their payment. They may have been sharing their access with even more people!,Ans.2
37,Situation,Intermediate,"You are helping a customer on the telephone. They are keen to buy a product from you. You determine there are two products suitable for the customers needs. However, one of the products is very expensive and you don't think the customer needs some of the features. What would you do?","Sell the customer the most expensive product. The more revenue you can generate for the company, the better!",Be honest and transparent with the customer about both products that are available and let them decide which one to buy.,Sell the customer the cheaper product to save them money,Ask your supervisor for advice on what to do.,Ans.2
38,Situation,Intermediate,"You are dealing with a customer on the telephone. They are asking for a refund on a product they say was faulty. Upon investigation, you find no fault with the product. The customer is threatening to leave a negative review online unless you give them a refund. What would you do?",Tell the customer they are being dishonest and there is nothing wrong with the product. Refuse to refund the payment.,Politely inform the customer you are not able to give them a refund.,Ask your manager for advice on what to do. Explain that you believe it is in the best interests of the company to refund the customer.,Refund the customer.,Ans.2
39,Situation,Intermediate,"You’re working on a group project. One teammate isn’t contributing, and the deadline is close. What do you do?",Ignore it and do all the work yourself,Report them immediately to the teacher,Talk to them privately to understand the issue and encourage contribution,Remove their name from the project,Ans.3
40,Situation,Intermediate,How would you try to ensure you made a positive impression when meeting an important client for the first time?,Be unprepared,Act casually,Prepare well and communicate professionally,Avoid interaction,Ans.3
41,Situation,Intermediate,How do you respond when you aren't feeling motivated some days?,Stop working,Complain all day,Stay focused and push yourself to complete tasks,Leave early,Ans.3
42,Situation,Intermediate,"Consider a situation where you needed approval from a manager to move to the next step of a project, but they're taking a long time to respond. How would you approach this scenario?",Stop working completely,Ignore the task,Follow up politely and continue what you can,Cancel the project,Ans.3
43,Situation,Intermediate,What do you think is the best way to explain complex topics to team members or clients who don't understand the technical details of the project?,Use complex terms,Skip explanations,Simplify and use clear examples,Avoid explaining,Ans.3
44,Situation,Intermediate,How do you respond when a client changes their mind about something without discussing it with you first?,Get angry,Ignore the change,Communicate and adjust accordingly,Stop working,Ans.3
45,Situation,Intermediate,Consider a scenario where your workplace switches to an entirely new online management system on short notice. What steps do you take to ensure you're qualified to work with the new program?,Refuse to use it,Complain only,Learn the system quickly and adapt,Ignore it,Ans.3
46,Situation,Intermediate,"You are leading a team, and one member is underperforming due to personal issues.",Remove them immediately,Ignore their performance,Support them while ensuring work is completed (redistribute tasks if needed),Complain to management only,Ans.3
47,Situation,Intermediate,Two urgent tasks come from two different managers at the same time,Choose randomly,Ignore one,Communicate with both and prioritize based on urgency/impact,Panic,Ans.3
48,Situation,Intermediate,You realize your manager made a decision that may harm the project.,Stay silent,Tell others only,Raise your concern respectfully with evidence,Refuse to work,Ans.3
49,Situation,Intermediate,A teammate asks you to cover up their mistake to avoid trouble,Agree,Ignore,Refuse politely and encourage transparency,Report them immediately without discussion,Ans.3
50,Situation,Intermediate,"You are working in a team where communication is very weak, causing repeated errors.",Work alone,Ignore,Suggest improvements and encourage better communication,Blame others,Ans.3
51,Situation,Intermediate,You are assigned to work with someone known for being difficult and uncooperative.,Avoid them,Complain,Stay professional and focus on collaboration,Refuse task,Ans.3
52,Situation,Hard,"You discover that a coworker made a mistake that could affect the company, but no one else has noticed yet. Fixing it yourself is possible but it will take time and may delay your own deadline. What should you do?",Inform your manager and suggest a solution,Fix it quietly without telling anyone,Ignore it since it’s not your responsibility,Confront your coworker aggressively,Ans.1
53,Situation,Hard,"You believe your professor graded your exam unfairly, but most students accepted their grades. What should you do?",Politely discuss it with the professor and ask for clarification,Ignore it to avoid trouble,Complain to my friends,Post complaints online,Ans.1
54,Situation,Hard,"You promised a friend you would attend an important event, but a last minute opportunity (internship interview) comes up at the same time. What should you do?",Go to the event and miss the opportunity,Choose the opportunity without informing your friend,Cancel both plans,Explain the situation honestly and try to make it up to your friend,Ans.4
55,Situation,Hard,"Your family is going through financial difficulty, and you have some savings meant for your personal goal (like education or a project). What should you do?",Keep all your savings for yourself,Discuss with your family and contribute reasonably,Give all your savings without thinking,Avoid the situation,Ans.2
56,Situation,Hard,Your computer crashes right before submitting an important assignment. What’s your first step?,Panic and do nothing,Immediately inform your instructor and explain the situation,Give up and accept a zero,Blame someone else,Ans.2
57,Situation,Hard,"You’re assigned as a team leader, but your team disagrees with your plan. What do you do?",Force your plan since you’re the leader,Ignore their opinions,Listen to their ideas and adjust the plan if needed,Quit being the leader,Ans.3
58,IQ,Easy,"56, ?, 332, 664 Options:",221,112,22,None of the above,Ans.2
59,IQ,Easy,You’re competing in a race and just passed the runner in second place. What position are you in now?,Second,First,Last,None of the above,Ans.1
60,IQ,Easy,Priya scored an average of 76 on her first three tests of the year. What would she have to score on the fourth test to have an average of 81 on these four tests?,86,78,90,94,Ans.4
61,IQ,Easy,A pencil and a pen together cost Rs 260. The pen costs Rs. 200 more than the pencil. How much does the pencil cost?,Rs. 10,Rs. 20,Rs. 60,Rs. 30,Ans.4
62,IQ,Easy,"On a balance scale, the following have equal weights: 2 chocloate chunks = 20 wafer packs, 15 wafer packs = 6 ice cream sticks. How many chocolate chunks are needed to balance 20 ice cream sticks?",5,6,7,8,Ans.1
63,IQ,Easy,"If today is Sunday, what day of the week will it be 4400 days from today?",Thursday,Wednesday,Tuesday,Monday,Ans.1
64,IQ,Easy,"If you dig half of a 6-foot hole, how deep is the hole?",6 feet,3 feet,1 feet,12 feet,Ans.2
65,IQ,Easy,Some month have 31 days. Some have 30 days. How many have 28?,1,0,12,3,Ans.3
66,IQ,Easy,"Which number should come next in the pattern: 7, 10, 8, 11, 9, 12?",10,13,11,14,Ans.1
67,IQ,Easy,"If all Bloops are Razzies and all Razzies are Lazzies, all Bloops are definitely Lazzies?",TRUE,FALSE,Neither,Both,Ans.1
68,IQ,Intermediate,"In the code, CAT is written as XZG. How is DOG written?",. XYZ,XWY,WLT,None of the above,Ans.3
69,IQ,Intermediate,"Sarah is currently 30 years old, and she is five times older than her sister. How old will Sarah be when her sister’s age is 16?",35 years,36 years,40 years,45 years,Ans.3
70,IQ,Intermediate,"I have three apples. If you take away two from me, how many do you have?",0,1,2,3,Ans.3
71,IQ,Intermediate,"What number replaces the question mark? Row 1: 3, 5, 7 Row 2: 4, 8, 12 Row 3: 5, 11, ?",15,16,18,17,Ans.4
72,IQ,Intermediate,"If 2 → 6, 3 → 12, 4 → 20, then 5 → ?",25,30,35,40,Ans.2
73,IQ,Intermediate,Five teams are in a round robin tournament in which every team plays every other team three times. How many games take place?,20,25,30,35,Ans.3
74,IQ,Intermediate,An evening theater performance is scheduled every third day. What is the maximum number of performances that can take place over a 25-day period? A: 5 C: 7 D: 8 E: 9 7) Mehrunisa is the 11th from both ends in a row of girls. How many girls are there in that row?,19,20,21,22,Ans.4
75,IQ,Intermediate,A person goes 2 kms towards East. He then turns right and goes 1 km. He turn again right and goes 3 kms straight. In which direction is he now relative to his starting place?,South West,North East,South East,North West,Ans.1
76,IQ,Intermediate,"I am four times as old as my son. In 20 years' time, I shall be twice as old as him. How many years am I today?",30,35,40,50,Ans.3
77,IQ,Intermediate,Which number should replace the question mark? 16 39 85 177 361 ?,720,721,725,731,Ans.4
78,IQ,Intermediate,My successor's father is my father's son. I don't have any brothers or sons. Who is my successor?,Nephew,Daughter,Niece,Myself,Ans.3
79,IQ,Intermediate,A notebook and a pen cost $2.20 together. The notebook costs $2 more than the pen. How much does the pen cost?,$0.20,$0.10,$1.10,$0.30,Ans.2
80,IQ,Hard,"If you write all the numbers from 300 to 400, how many times do you write the number 3?",100,110,120,130,Ans.3
81,IQ,Hard,A clock shows 3:15. What is the angle between the hour and minute hands?,0,45,15,90,Ans.1
82,IQ,Hard,"144, 233, 377, 610, ____, 1597, 2584. What is the missing number?",1110,1287,987,961,Ans.3
83,IQ,Hard,"7, 10, 16, 25, 37, ___",50,51,52,49,Ans.2
84,IQ,Hard,What is the thing that can speak all languages?,teacher,A computer,An echo,A translator,Ans.3
85,IQ,Hard,Divide 30 by half and add ten. What do you get?,0,35,45,70,Ans.4
86,IQ,Hard,"In four years time, the combined age of my three cousins and myself will be 208. What will be the combined age in seven years' time?",215,220,225,230,Ans.4
87,IQ,Hard,"I travel to work by bus and then by train. If my bus journey takes 28 minutes and my train journey takes 35 minutes longer, what is the total travelling time in hours and minutes?",1 hr 30 mins,1 hr 3 mins,1 hr 13 mins,1 hr 31 mins,Ans.4
88,IQ,Hard,"If you rearrange the letters ""CIFAIPC"" you would have the name of a?",City,Animal,Ocean,Country,Ans.3
89,Logic,Easy,"If all cats are animals, and some animals are black, which statement is true?",All cats are black,Some cats may be black,No cats are black,All black things are cats,Ans.3
90,Logic,Easy,"What comes next in the pattern? 1, 2, 4, 8, __",9,10,12,16,Ans.4
91,Logic,Easy,"If you have 3 apples and you take away 2, how many apples do you have?",0,1,2,3,Ans.3
92,Logic,Easy,Which one does NOT belong?,Dog,Cat,Car,Cow,Ans.3
93,Logic,Easy,What is the main component of the Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,Ans.2
94,Logic,Easy,"Which planet is known as the ""Red Planet""?",Venus,Jupiter,Mars,Saturn,Ans.3
95,Logic,Easy,What is the boiling point of water at sea level?,90°C,100°C,110°C,120°C,Ans.2
96,Logic,Easy,A family has 2 parents and 3 children. Each child has 2 siblings. How many people are in the family?,4,5,6,7,Ans.2
97,Logic,Easy,") There are five books labeled A, B, C, D, & E. • A is above C •D is below •E is at the bottom Which book is at the top?",A,B,C,D,Ans.1
98,Logic,Easy,"If ALL pens are blue and SOME blue things are cheap, which of the following must be true?",Some pens are cheap,All blue things are pens,Some pens are blue and cheap,None of the above,Ans.4
99,Logic,Easy,"Which number completes the pattern? 2, 6, 12, 20, ?, 42",26,28,30,32,Ans.3
100,Logic,Intermediate,"If all roses are flowers, and some flowers fade quickly, which statement must be true?",All roses fade quickly,Some roses fade quickly,Roses are flowers,No roses fade quickly,Ans.3
101,Logic,Intermediate,"What comes next in the sequence? 3, 9, 27, 81, __",162,243,324,108,Ans.2
102,Logic,Intermediate,A train travels 60 km in 1 hour. How far will it travel in 2.5 hours at the same speed?,150 km,130 km,120 km,180 km,Ans.1
103,Logic,Intermediate,"If yesterday was Monday, what day will it be 3 days from now?",Friday,Thursday,Wednesday,Saturday,Ans.1
104,Logic,Intermediate,Find the odd one out:,16,25,36,45,Ans.4
105,Logic,Intermediate,"If 5 machines make 5 products in 5 minutes, how long will 10 machines take to make 10 products?",5 minutes,10 minutes,20 minutes,0,Ans.1
106,Logic,Intermediate,Sarah is taller than Lina. Lina is taller than Mona. Who is the shortest?,Sarah,Lina,Mona,Cannot be determined,Ans.3
107,Logic,Intermediate,"Find the next number in the sequence: 3, 6, 11, 18, 27, ?",38,36,37,40,Ans.3
108,Logic,Intermediate,"If all books are papers, and all papers are words, then which is true?",All books are words,Some books are not papers,No paper is a book,All words are books,Ans.1
109,Logic,Intermediate,"Which one is the odd one out? Tiger, Lion, Elephant, Leopard",Tiger,Elephant,Lion,Leopard,Ans.2
110,Logic,Intermediate,A is taller than B. B is taller than C. Who is the shortest?,A,B,C,None,Ans.3
111,Logic,Intermediate,"Five friends are sitting in a row: A, B, C, D, and E. •A sits next to B •C is not next to A •D is at one end Who is sitting in the middle?",A,B,C,None,Ans.4
112,Logic,Intermediate,"If yesterday was Monday, what day will it be 3 days after tomorrow?",Thursday,Friday,Saturday,Sunday,Ans.2
113,Logic,Intermediate,A clock shows 3:00. What is the angle between the hour and minute hands?,60,45,90,180,Ans.3
114,Logic,Intermediate,Which organ in the human body is responsible for pumping blood?,Lungs,Liver,Heart,Kidneys,Ans.3
115,Logic,Intermediate,What is the chemical symbol for Gold?,Ag,Fe,Au,Pb,Ans.3
116,Logic,Intermediate,Who is the scientist who discovered gravity?,Albert Einstein,Isaac Newton,Nikola Tesla,Marie Curie,Ans.3
117,Logic,Hard,"You have 3 switches outside the room. Inside the room, there is 1 light bulb. You can only enter the room once. How do you determine which switch controls the bulb?","Turn all on, then check",Turn one on and enter,"Turn one on for a while, turn it off, turn another on, then enter",Impossible,Ans.3
118,Logic,Hard,A farmer has 17 sheep. All but 9 run away. How many sheep are left?,9,8,7,0,Ans.1
119,Logic,Hard,"If 2 pencils cost 6 pounds, how much do 5 pencils cost?",10,12,15,18,Ans.3
120,Logic,Hard,Rearrange the letters “LPAEP” to form a meaningful word.,APPLE,PEPLA,PALPE,LEAPP,Ans.1
121,Logic,Hard,"A man walks 10 meters north, then 10 meters east, then 10 meters south. How far is he from the starting point?",0,10,20,30,Ans.2
122,Logic,Hard,"""If a person is a genius, they pass the exam. Omar passed the exam."" Based on this, we can conclude that:",Omar is a genius.,Omar is not a genius.,The exam was easy.,We cannot be certain if Omar is a genius.,Ans.4
123,Logic,Hard,What is the smallest unit of matter?,Molecule,Atom,Cell,Electron,Ans.2
124,Math,Easy,A + B = 12 B + C = 8 A + C = 6,"A=3, B=9, C=-1","A=1, B=11, C=4","A=5, B=7, C=1","A=4, B=6, C=2",Ans.3
125,Math,Easy,A restaurant reduces the price of a meal by 25%. What percentage must the discounted price be increased to return to the original price?,20%,25%,33.33%,50%,Ans.3
126,Math,Easy,What is the value of: 7 + 5 × 2 = ?,24,17,19,14,Ans.2
127,Math,Easy,"15 labours completed some work in 16 days, in how many days 20 labours will complete the same work.",12 days,16 days,20 days,40 days,Ans.1
128,Math,Easy,What is 20% of 80?,40,20,16,12,Ans.3
129,Math,Easy,"A triangle sides 3cm,5cm,6cm is a",equilateral triangle,)isosceles triangle,)scalene triangle,none of these ,Ans.3
130,Math,Easy,What is the value of x? If 5:x=15:60,20,30,40,50,Ans.3
131,Math,Easy,−10 −3 −4 +5 =,2,-12,-4,16,Ans.2
132,Math,Easy,−96 ÷ −6 ÷ 8 =,2,12,-1,-12,Ans.1
133,Math,Easy,8% of $2000 is:,16,40,160,400,Ans.3
134,Math,Easy,Simplify 0.75×0.4,0.3,0.4,0.5,0.6,Ans.1
135,Math,Intermediate,How many seconds are there in 3 hours,"10,800","10,600","10,000","11,800",Ans.1
136,Math,Intermediate,"In a class, the ratio of boys to girls is 3:2. If there are 30 boys, how many girls are there?",20,22,30,33,Ans.1
137,Math,Intermediate,"A two-digit number is such that the product of the digits is 8. When 18 is added to the number, then the digits are reversed. The number is:",18,24,42,81,Ans.2
138,Math,Intermediate,A number is doubled and then increased by 6 to become 20. What is the number?,5,6,7,8,Ans.1
139,Math,Intermediate,"A shop sells pencils at $2 each. It offers a deal: “Buy 3, get 1 free.” If you want 12 pencils, how much do you pay?",16,18,20,24,Ans.2
140,Math,Intermediate,If a-b=2 and ab=3 then a2 + b2=,12,14,10,20,Ans.2
141,Math,Intermediate,"If a is 63% of x and c is 3/8 of x, which of the following is the closest equivalent of the ratio of a to c?",0.236,0.381,0.595,1.68,Ans.4
142,Math,Intermediate,The sum of three consecutive odd integers is 249. Find the largest of these numbers?,64,21,72,85,Ans.4
143,Math,Intermediate,A polygon having 8 sides is called:,hexagon,nonagon,decagon,octagon,Ans.4
144,Math,Intermediate, A die is rolled. What is the probability of getting a number less than 3?,1/2,1/3,1/6,2/3,Ans.2
145,Math,Intermediate,Expand and simplify −6 (2X−3) −11 :,12x - 8,-12x + 28,-12x - 18,None of these,Ans.4
146,Math,Intermediate,"The distance around a rectangular field is 20 km. If the length is 7 km, what is the width?",3,13,6,16,Ans.1
147,Math,Hard,"A car travels at 60 km/h for 30 minutes, then at 90 km/h for 1 hour. What is the total distance?",105 km,120 km,135 km,150 km,Ans.3
148,Math,Hard,The turning point of the graph Y= (X−2) 2 + 3 is:,"(2, 3)","(-2, 3)","(2,- 3)","(-2,- 3)",Ans.1
149,Math,Hard,Find the points of intersection of Y = X2 and Y = 3X−2:,"(1,1), (4,1)","(4,2), (1,1)","(2,4), (1,1)",None of these,Ans.3
150,Math,Hard,"Two supplementary angles measure (3x+5) and (9x-5), what is the value of x?",12,13,15,16,Ans.3
151,Math,Hard,"2187, 729, 243, 81, 27, 9,___?",2,3,4,6,Ans.2
152,Math,Hard,"If one-third of one-fourth of a number is 15, then three-tenth of that number is:",35,36,45,54,Ans.4
153,Math,Hard,Three times the first of three consecutive odd integers is 3 more than twice the third. The third integer is: 9 11 13 15,9,11,13,15,Ans.4
154,English,Easy,Choose the correct sentence:,He go to school every day,He goes to school every day,He going to school every day,He gone to school every day,Ans.2
155,English,Easy,What is the opposite of “hot”?,Warm,Cold,Wet,Bright,Ans.2
156,English,Easy,Choose the correct word: She ___ a book now.,read,reads,reading,is reading,Ans.4
157,English,Easy,"Sorry, but this chair is _______.",me,mine ,my,our,Ans.2
158,English,Easy,Can you _______ the lights? I can't see.,open ,Turn on,start,put on,Ans.2
159,English,Easy,What is the synonym of brave?,cowardly,fearless,shy,timid,Ans.1
160,English,Easy,What is the antonym of victory?,Defeat,success,win,triumph,Ans.3
161,English,Easy,What is the synonym of enormous?,tiny,huge,small,average,Ans.3
162,English,Easy,We've already lunch.,Have,has,had,none,Ans.3
163,English,Easy,Have you already to the shops. her homework. today's newspaper?,Read,reads,rood,ride,Ans.1
164,English,Easy,"2Sorry, but this chair is",me,mine,my,our,Ans.2
165,English,Intermediate,Choose the correct sentence:,She don’t like coffee,She doesn’t likes coffee,She doesn’t like coffee,She not like coffee,Ans.3
166,English,Intermediate,What is the synonym of “quick”?,Slow,Fast,Weak,Late,Ans.2
167,English,Intermediate,"Choose the correct word: If I ___ rich, I would travel the world.",am,was,were,be,Ans.3
168,English,Intermediate,Choose the correct meaning of the idiom: “Break the ice”,To break something frozen,To start a conversation in a friendly way,To end a friendship,To be very cold,Ans.2
169,English,Intermediate,Where _______?,your sister works,your sister work,does your sister work,do your sister work,Ans.3
170,English,Intermediate,He went on a business _______ to New York.,travel,. journey,commute,trip,Ans.3
171,English,Intermediate,"Sorry, but when you called I _______ a shower.",had,did have,was having,were having,Ans.3
172,English,Intermediate,My brother and I don't _______ very well.,get off,get on,go on,break off,Ans.4
173,English,Intermediate,I'll call you when I _______ home.,arrive,m going to arrive,will arrive,arrived,Ans.4
174,English,Intermediate,One of my friends____coming today.,is,are,were,did,Ans.1
175,English,Intermediate,Choose the word opposite to “look”:,Behold,stare,discern,bypass,Ans.4
176,English,Intermediate,He had to curtail his leaves as a lot of work was pending in his office. Choose the nearest meaning to the underlined word.,cancel,extend,postpone,shorten,Ans.4
